time,lat,lon
2022-09-09 11:57:14.669778,32.985859999999995,-96.75304400000003
2022-09-09 11:57:18.080496,32.985860499999994,-96.75303749999999
2022-09-09 11:57:20.065228,32.985860333333335,-96.75303133333333
2022-09-09 11:57:24.556767,32.985859999999995,-96.75301966666667
2022-09-09 11:57:28.107568,32.98586233333334,-96.75301116666665
2022-09-09 11:58:06.343873,32.98587233333333,-96.75259966666667
2022-09-09 11:58:07.652420,32.985873500000004,-96.75259766666669
2022-09-09 11:58:09.517720,32.985872833333325,-96.75258700000002
2022-09-09 11:58:11.698399,32.985873833333336,-96.75258083333334
2022-09-09 11:58:13.686986,32.985873999999995,-96.75257250000003
2022-09-09 11:59:04.121607,32.98587866666667,-96.75289166666668
2022-09-09 11:59:05.119440,32.985878166666666,-96.75290633333334
2022-09-09 11:59:06.118065,32.98587766666667,-96.75292166666668
2022-09-09 11:59:07.121989,32.98587800000001,-96.75293583333331
2022-09-09 12:00:04.110360,32.985859999999995,-96.75254083333331
2022-09-09 12:00:05.147605,32.985861500000006,-96.75254683333331
2022-09-09 12:00:06.143027,32.9858655,-96.75255250000001
2022-09-09 12:00:07.143884,32.98586283333333,-96.75255316666667
2022-09-09 12:00:08.141699,32.985867,-96.75254866666668
2022-09-09 12:01:04.118469,32.98577016666667,-96.75225316666668
2022-09-09 12:01:05.168450,32.9857495,-96.75225383333333
2022-09-09 12:01:06.162186,32.98573283333334,-96.75225583333335
2022-09-09 12:01:07.173843,32.98571900000001,-96.75226666666669
2022-09-09 12:01:08.164689,32.98571716666667,-96.75226716666666
2022-09-09 12:02:04.112896,32.985603000000005,-96.75187716666666
2022-09-09 12:02:05.128144,32.985597000000006,-96.75186716666667
2022-09-09 12:02:06.135860,32.98559183333334,-96.75185766666667
2022-09-09 12:02:07.127491,32.985589333333344,-96.75185383333334
2022-09-09 12:02:08.120717,32.98558800000001,-96.751848
2022-09-09 12:03:04.110298,32.98574016666666,-96.75113116666668
2022-09-09 12:03:05.113322,32.98574233333333,-96.7511195
2022-09-09 12:03:06.110275,32.985744999999994,-96.7511075
2022-09-09 12:03:07.111855,32.985745666666666,-96.75109416666668
2022-09-09 12:03:08.112369,32.98574616666666,-96.75108083333333
2022-09-09 12:04:04.084171,32.985867999999996,-96.75088949999999
2022-09-09 12:04:05.108225,32.985859500000004,-96.75090616666667
2022-09-09 12:04:06.107628,32.985833666666664,-96.75093149999998
2022-09-09 12:04:07.117512,32.9858015,-96.75096533333333
2022-09-09 12:06:04.110331,32.98640300000001,-96.74961849999998
2022-09-09 12:06:05.125015,32.98640766666667,-96.74961616666666
2022-09-09 12:06:06.122180,32.98641333333333,-96.74961316666669
2022-09-09 12:06:07.124193,32.986417833333334,-96.7496115
